"filename", "language", "Dart", "JSON", "HTML", "C++", "XML", "Markdown", "CMake", "Swift", "YAML", "Groovy", "Properties", "comment", "blank", "total"
"d:\updated_instagram_day_4_6\instagram\README.md", "Markdown", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 7, 17
"d:\updated_instagram_day_4_6\instagram\analysis_options.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 23, 4, 30
"d:\updated_instagram_day_4_6\instagram\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 3, 16, 76
"d:\updated_instagram_day_4_6\instagram\android\app\google-services.json", "JSON", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39
"d:\updated_instagram_day_4_6\instagram\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 3, 1, 8
"d:\updated_instagram_day_4_6\instagram\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 6, 1, 33
"d:\updated_instagram_day_4_6\instagram\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 7, 2, 13
"d:\updated_instagram_day_4_6\instagram\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 7, 2, 13
"d:\updated_instagram_day_4_6\instagram\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9, 1, 19
"d:\updated_instagram_day_4_6\instagram\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9, 1, 19
"d:\updated_instagram_day_4_6\instagram\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 3, 1, 8
"d:\updated_instagram_day_4_6\instagram\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 5, 31
"d:\updated_instagram_day_4_6\instagram\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"d:\updated_instagram_day_4_6\instagram\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 1, 7
"d:\updated_instagram_day_4_6\instagram\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 4, 12
"d:\updated_instagram_day_4_6\instagram\assets\3d_caractars\gif\business-investor-gaining-profit-from-investment.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\activity.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\add-instagram-story.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\add.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\archive.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\birthday-cake.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\calendar.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\cancel.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\cancel_blod.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\close_friends.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\comment.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\grid.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"d:\updated_instagram_day_4_6\instagram\assets\icons\heart.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\house_black.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\house_white.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\ic_instagram.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\updated_instagram_day_4_6\instagram\assets\icons\instagram-highlight-story.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\instagram.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\link.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\live-streaming.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\menu.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\menu_horizontal.svg", "XML", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"d:\updated_instagram_day_4_6\instagram\assets\icons\minus.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\qr-code1.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\qr-code2.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\save.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\search.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\send.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\settings.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\share.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\shop_black.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\shop_white.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\video.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\warning.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\splash_gif\instagram.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"d:\updated_instagram_day_4_6\instagram\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"d:\updated_instagram_day_4_6\instagram\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"d:\updated_instagram_day_4_6\instagram\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
"d:\updated_instagram_day_4_6\instagram\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 1, 1, 38
"d:\updated_instagram_day_4_6\instagram\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 1, 27
